-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DNI
46.5,-118.5,2024,1,1,1.19
46.5,-117.5,2024,1,1,3.41
46.5,-116.5,2024,1,1,3.41
46.5,-115.5,2024,1,1,2.85
47.5,-118.5,2024,1,1,1.82
47.5,-117.5,2024,1,1,3.02
47.5,-116.5,2024,1,1,3.02
47.5,-115.5,2024,1,1,3.49
48.5,-118.5,2024,1,1,2.52
48.5,-117.5,2024,1,1,2.23
48.5,-116.5,2024,1,1,2.23
48.5,-115.5,2024,1,1,3.03
46.5,-118.5,2024,1,2,0.05
46.5,-117.5,2024,1,2,0.51
46.5,-116.5,2024,1,2,0.51
46.5,-115.5,2024,1,2,3.22
47.5,-118.5,2024,1,2,0.1
47.5,-117.5,2024,1,2,0.27
47.5,-116.5,2024,1,2,0.27
47.5,-115.5,2024,1,2,1.27
48.5,-118.5,2024,1,2,0.17
48.5,-117.5,2024,1,2,0.3
48.5,-116.5,2024,1,2,0.3
48.5,-115.5,2024,1,2,0.7
46.5,-118.5,2024,1,3,0.63
46.5,-117.5,2024,1,3,0.41
46.5,-116.5,2024,1,3,0.41
46.5,-115.5,2024,1,3,0.23
47.5,-118.5,2024,1,3,0.67
47.5,-117.5,2024,1,3,0.37
47.5,-116.5,2024,1,3,0.37
47.5,-115.5,2024,1,3,0.54
48.5,-118.5,2024,1,3,0.33
48.5,-117.5,2024,1,3,0.58
48.5,-116.5,2024,1,3,0.58
48.5,-115.5,2024,1,3,1.23
46.5,-118.5,2024,1,4,1.04
46.5,-117.5,2024,1,4,0.9
46.5,-116.5,2024,1,4,0.9
46.5,-115.5,2024,1,4,0.95
47.5,-118.5,2024,1,4,0.99
47.5,-117.5,2024,1,4,0.47
47.5,-116.5,2024,1,4,0.47
47.5,-115.5,2024,1,4,0.72
48.5,-118.5,2024,1,4,1.07
48.5,-117.5,2024,1,4,0.46
48.5,-116.5,2024,1,4,0.46
48.5,-115.5,2024,1,4,0.75
46.5,-118.5,2024,1,5,0.6
46.5,-117.5,2024,1,5,0.99
46.5,-116.5,2024,1,5,0.99
46.5,-115.5,2024,1,5,1.2
47.5,-118.5,2024,1,5,0.08
47.5,-117.5,2024,1,5,0.75
47.5,-116.5,2024,1,5,0.75
47.5,-115.5,2024,1,5,1.57
48.5,-118.5,2024,1,5,0.04
48.5,-117.5,2024,1,5,0.91
48.5,-116.5,2024,1,5,0.91
48.5,-115.5,2024,1,5,1.34
46.5,-118.5,2024,1,6,0.21
46.5,-117.5,2024,1,6,0.09
46.5,-116.5,2024,1,6,0.09
46.5,-115.5,2024,1,6,0.01
47.5,-118.5,2024,1,6,0.67
47.5,-117.5,2024,1,6,0.09
47.5,-116.5,2024,1,6,0.09
47.5,-115.5,2024,1,6,0.0
48.5,-118.5,2024,1,6,0.06
48.5,-117.5,2024,1,6,0.08
48.5,-116.5,2024,1,6,0.08
48.5,-115.5,2024,1,6,0.04
46.5,-118.5,2024,1,7,5.1
46.5,-117.5,2024,1,7,1.43
46.5,-116.5,2024,1,7,1.43
46.5,-115.5,2024,1,7,1.61
47.5,-118.5,2024,1,7,5.08
47.5,-117.5,2024,1,7,0.9
47.5,-116.5,2024,1,7,0.9
47.5,-115.5,2024,1,7,0.88
48.5,-118.5,2024,1,7,3.28
48.5,-117.5,2024,1,7,1.03
48.5,-116.5,2024,1,7,1.03
48.5,-115.5,2024,1,7,0.54
46.5,-118.5,2024,1,8,0.07
46.5,-117.5,2024,1,8,0.04
46.5,-116.5,2024,1,8,0.04
46.5,-115.5,2024,1,8,0.0
47.5,-118.5,2024,1,8,0.05
47.5,-117.5,2024,1,8,0.08
47.5,-116.5,2024,1,8,0.08
47.5,-115.5,2024,1,8,0.0
48.5,-118.5,2024,1,8,0.15
48.5,-117.5,2024,1,8,0.09
48.5,-116.5,2024,1,8,0.09
48.5,-115.5,2024,1,8,0.03
46.5,-118.5,2024,1,9,0.46
46.5,-117.5,2024,1,9,0.16
46.5,-116.5,2024,1,9,0.16
46.5,-115.5,2024,1,9,0.17
47.5,-118.5,2024,1,9,1.24
47.5,-117.5,2024,1,9,0.11
47.5,-116.5,2024,1,9,0.11
47.5,-115.5,2024,1,9,0.57
48.5,-118.5,2024,1,9,1.57
48.5,-117.5,2024,1,9,0.07
48.5,-116.5,2024,1,9,0.07
48.5,-115.5,2024,1,9,0.26
46.5,-118.5,2024,1,10,3.52
46.5,-117.5,2024,1,10,1.06
46.5,-116.5,2024,1,10,1.06
46.5,-115.5,2024,1,10,0.35
47.5,-118.5,2024,1,10,2.95
47.5,-117.5,2024,1,10,0.78
47.5,-116.5,2024,1,10,0.78
47.5,-115.5,2024,1,10,0.74
48.5,-118.5,2024,1,10,1.37
48.5,-117.5,2024,1,10,0.52
48.5,-116.5,2024,1,10,0.52
48.5,-115.5,2024,1,10,0.43
46.5,-118.5,2024,1,11,4.59
46.5,-117.5,2024,1,11,1.77
46.5,-116.5,2024,1,11,1.77
46.5,-115.5,2024,1,11,0.31
47.5,-118.5,2024,1,11,3.1
47.5,-117.5,2024,1,11,2.04
47.5,-116.5,2024,1,11,2.04
47.5,-115.5,2024,1,11,0.26
48.5,-118.5,2024,1,11,1.1
48.5,-117.5,2024,1,11,2.07
48.5,-116.5,2024,1,11,2.07
48.5,-115.5,2024,1,11,0.32
46.5,-118.5,2024,1,12,1.35
46.5,-117.5,2024,1,12,2.02
46.5,-116.5,2024,1,12,2.02
46.5,-115.5,2024,1,12,1.19
47.5,-118.5,2024,1,12,3.89
47.5,-117.5,2024,1,12,4.45
47.5,-116.5,2024,1,12,4.45
47.5,-115.5,2024,1,12,1.81
48.5,-118.5,2024,1,12,4.68
48.5,-117.5,2024,1,12,5.05
48.5,-116.5,2024,1,12,5.05
48.5,-115.5,2024,1,12,3.17
46.5,-118.5,2024,1,13,0.15
46.5,-117.5,2024,1,13,0.82
46.5,-116.5,2024,1,13,0.82
46.5,-115.5,2024,1,13,3.11
47.5,-118.5,2024,1,13,1.27
47.5,-117.5,2024,1,13,2.59
47.5,-116.5,2024,1,13,2.59
47.5,-115.5,2024,1,13,3.39
48.5,-118.5,2024,1,13,3.58
48.5,-117.5,2024,1,13,4.79
48.5,-116.5,2024,1,13,4.79
48.5,-115.5,2024,1,13,5.37
46.5,-118.5,2024,1,14,3.39
46.5,-117.5,2024,1,14,1.1
46.5,-116.5,2024,1,14,1.1
46.5,-115.5,2024,1,14,0.87
47.5,-118.5,2024,1,14,3.18
47.5,-117.5,2024,1,14,1.98
47.5,-116.5,2024,1,14,1.98
47.5,-115.5,2024,1,14,0.54
48.5,-118.5,2024,1,14,2.98
48.5,-117.5,2024,1,14,3.1
48.5,-116.5,2024,1,14,3.1
48.5,-115.5,2024,1,14,2.06
46.5,-118.5,2024,1,15,2.22
46.5,-117.5,2024,1,15,2.64
46.5,-116.5,2024,1,15,2.64
46.5,-115.5,2024,1,15,5.13
47.5,-118.5,2024,1,15,2.01
47.5,-117.5,2024,1,15,2.64
47.5,-116.5,2024,1,15,2.64
47.5,-115.5,2024,1,15,4.2
48.5,-118.5,2024,1,15,1.8
48.5,-117.5,2024,1,15,2.57
48.5,-116.5,2024,1,15,2.57
48.5,-115.5,2024,1,15,4.07
46.5,-118.5,2024,1,16,1.99
46.5,-117.5,2024,1,16,2.23
46.5,-116.5,2024,1,16,2.23
46.5,-115.5,2024,1,16,2.36
47.5,-118.5,2024,1,16,1.6
47.5,-117.5,2024,1,16,1.61
47.5,-116.5,2024,1,16,1.61
47.5,-115.5,2024,1,16,1.43
48.5,-118.5,2024,1,16,0.67
48.5,-117.5,2024,1,16,0.89
48.5,-116.5,2024,1,16,0.89
48.5,-115.5,2024,1,16,0.47
46.5,-118.5,2024,1,17,0.38
46.5,-117.5,2024,1,17,0.07
46.5,-116.5,2024,1,17,0.07
46.5,-115.5,2024,1,17,0.09
47.5,-118.5,2024,1,17,0.58
47.5,-117.5,2024,1,17,0.08
47.5,-116.5,2024,1,17,0.08
47.5,-115.5,2024,1,17,0.06
48.5,-118.5,2024,1,17,0.72
48.5,-117.5,2024,1,17,0.11
48.5,-116.5,2024,1,17,0.11
48.5,-115.5,2024,1,17,0.0
46.5,-118.5,2024,1,18,0.25
46.5,-117.5,2024,1,18,1.12
46.5,-116.5,2024,1,18,1.12
46.5,-115.5,2024,1,18,2.42
47.5,-118.5,2024,1,18,0.14
47.5,-117.5,2024,1,18,1.39
47.5,-116.5,2024,1,18,1.39
47.5,-115.5,2024,1,18,1.1
48.5,-118.5,2024,1,18,0.11
48.5,-117.5,2024,1,18,1.67
48.5,-116.5,2024,1,18,1.67
48.5,-115.5,2024,1,18,3.75
46.5,-118.5,2024,1,19,0.02
46.5,-117.5,2024,1,19,0.0
46.5,-116.5,2024,1,19,0.0
46.5,-115.5,2024,1,19,0.05
47.5,-118.5,2024,1,19,0.06
47.5,-117.5,2024,1,19,0.05
47.5,-116.5,2024,1,19,0.05
47.5,-115.5,2024,1,19,0.56
48.5,-118.5,2024,1,19,0.09
48.5,-117.5,2024,1,19,0.3
48.5,-116.5,2024,1,19,0.3
48.5,-115.5,2024,1,19,1.38
46.5,-118.5,2024,1,20,0.28
46.5,-117.5,2024,1,20,0.07
46.5,-116.5,2024,1,20,0.07
46.5,-115.5,2024,1,20,0.44
47.5,-118.5,2024,1,20,0.33
47.5,-117.5,2024,1,20,0.05
47.5,-116.5,2024,1,20,0.05
47.5,-115.5,2024,1,20,0.37
48.5,-118.5,2024,1,20,0.1
48.5,-117.5,2024,1,20,0.14
48.5,-116.5,2024,1,20,0.14
48.5,-115.5,2024,1,20,0.38
46.5,-118.5,2024,1,21,0.46
46.5,-117.5,2024,1,21,0.74
46.5,-116.5,2024,1,21,0.74
46.5,-115.5,2024,1,21,0.64
47.5,-118.5,2024,1,21,0.39
47.5,-117.5,2024,1,21,0.5
47.5,-116.5,2024,1,21,0.5
47.5,-115.5,2024,1,21,0.22
48.5,-118.5,2024,1,21,0.53
48.5,-117.5,2024,1,21,0.61
48.5,-116.5,2024,1,21,0.61
48.5,-115.5,2024,1,21,0.59
46.5,-118.5,2024,1,22,0.55
46.5,-117.5,2024,1,22,0.4
46.5,-116.5,2024,1,22,0.4
46.5,-115.5,2024,1,22,0.33
47.5,-118.5,2024,1,22,0.3
47.5,-117.5,2024,1,22,0.26
47.5,-116.5,2024,1,22,0.26
47.5,-115.5,2024,1,22,0.16
48.5,-118.5,2024,1,22,0.47
48.5,-117.5,2024,1,22,0.26
48.5,-116.5,2024,1,22,0.26
48.5,-115.5,2024,1,22,0.25
46.5,-118.5,2024,1,23,2.86
46.5,-117.5,2024,1,23,1.34
46.5,-116.5,2024,1,23,1.34
46.5,-115.5,2024,1,23,0.85
47.5,-118.5,2024,1,23,1.89
47.5,-117.5,2024,1,23,0.62
47.5,-116.5,2024,1,23,0.62
47.5,-115.5,2024,1,23,1.16
48.5,-118.5,2024,1,23,1.46
48.5,-117.5,2024,1,23,0.44
48.5,-116.5,2024,1,23,0.44
48.5,-115.5,2024,1,23,0.61
46.5,-118.5,2024,1,24,0.54
46.5,-117.5,2024,1,24,0.2
46.5,-116.5,2024,1,24,0.2
46.5,-115.5,2024,1,24,0.69
47.5,-118.5,2024,1,24,0.25
47.5,-117.5,2024,1,24,0.19
47.5,-116.5,2024,1,24,0.19
47.5,-115.5,2024,1,24,1.62
48.5,-118.5,2024,1,24,0.18
48.5,-117.5,2024,1,24,0.33
48.5,-116.5,2024,1,24,0.33
48.5,-115.5,2024,1,24,1.66
46.5,-118.5,2024,1,25,2.46
46.5,-117.5,2024,1,25,2.38
46.5,-116.5,2024,1,25,2.38
46.5,-115.5,2024,1,25,1.74
47.5,-118.5,2024,1,25,2.36
47.5,-117.5,2024,1,25,2.49
47.5,-116.5,2024,1,25,2.49
47.5,-115.5,2024,1,25,2.84
48.5,-118.5,2024,1,25,2.32
48.5,-117.5,2024,1,25,2.17
48.5,-116.5,2024,1,25,2.17
48.5,-115.5,2024,1,25,2.64
46.5,-118.5,2024,1,26,0.68
46.5,-117.5,2024,1,26,1.6
46.5,-116.5,2024,1,26,1.6
46.5,-115.5,2024,1,26,1.04
47.5,-118.5,2024,1,26,1.98
47.5,-117.5,2024,1,26,2.38
47.5,-116.5,2024,1,26,2.38
47.5,-115.5,2024,1,26,1.11
48.5,-118.5,2024,1,26,1.14
48.5,-117.5,2024,1,26,1.15
48.5,-116.5,2024,1,26,1.15
48.5,-115.5,2024,1,26,0.4
46.5,-118.5,2024,1,27,0.34
46.5,-117.5,2024,1,27,0.45
46.5,-116.5,2024,1,27,0.45
46.5,-115.5,2024,1,27,1.3
47.5,-118.5,2024,1,27,0.23
47.5,-117.5,2024,1,27,0.13
47.5,-116.5,2024,1,27,0.13
47.5,-115.5,2024,1,27,0.68
48.5,-118.5,2024,1,27,0.14
48.5,-117.5,2024,1,27,0.37
48.5,-116.5,2024,1,27,0.37
48.5,-115.5,2024,1,27,0.51
46.5,-118.5,2024,1,28,2.36
46.5,-117.5,2024,1,28,1.53
46.5,-116.5,2024,1,28,1.53
46.5,-115.5,2024,1,28,0.85
47.5,-118.5,2024,1,28,2.49
47.5,-117.5,2024,1,28,1.98
47.5,-116.5,2024,1,28,1.98
47.5,-115.5,2024,1,28,0.97
48.5,-118.5,2024,1,28,2.24
48.5,-117.5,2024,1,28,1.28
48.5,-116.5,2024,1,28,1.28
48.5,-115.5,2024,1,28,0.71
46.5,-118.5,2024,1,29,2.82
46.5,-117.5,2024,1,29,5.43
46.5,-116.5,2024,1,29,5.43
46.5,-115.5,2024,1,29,5.87
47.5,-118.5,2024,1,29,3.6
47.5,-117.5,2024,1,29,2.27
47.5,-116.5,2024,1,29,2.27
47.5,-115.5,2024,1,29,2.65
48.5,-118.5,2024,1,29,1.66
48.5,-117.5,2024,1,29,2.01
48.5,-116.5,2024,1,29,2.01
48.5,-115.5,2024,1,29,0.87
46.5,-118.5,2024,1,30,0.46
46.5,-117.5,2024,1,30,0.31
46.5,-116.5,2024,1,30,0.31
46.5,-115.5,2024,1,30,3.74
47.5,-118.5,2024,1,30,0.41
47.5,-117.5,2024,1,30,0.22
47.5,-116.5,2024,1,30,0.22
47.5,-115.5,2024,1,30,0.96
48.5,-118.5,2024,1,30,0.1
48.5,-117.5,2024,1,30,0.25
48.5,-116.5,2024,1,30,0.25
48.5,-115.5,2024,1,30,0.64
46.5,-118.5,2024,1,31,0.01
46.5,-117.5,2024,1,31,0.37
46.5,-116.5,2024,1,31,0.37
46.5,-115.5,2024,1,31,4.46
47.5,-118.5,2024,1,31,0.08
47.5,-117.5,2024,1,31,0.55
47.5,-116.5,2024,1,31,0.55
47.5,-115.5,2024,1,31,1.18
48.5,-118.5,2024,1,31,0.07
48.5,-117.5,2024,1,31,0.31
48.5,-116.5,2024,1,31,0.31
48.5,-115.5,2024,1,31,0.54
46.5,-118.5,2024,2,1,0.24
46.5,-117.5,2024,2,1,0.23
46.5,-116.5,2024,2,1,0.23
46.5,-115.5,2024,2,1,0.02
47.5,-118.5,2024,2,1,0.23
47.5,-117.5,2024,2,1,0.12
47.5,-116.5,2024,2,1,0.12
47.5,-115.5,2024,2,1,0.51
48.5,-118.5,2024,2,1,0.15
48.5,-117.5,2024,2,1,0.08
48.5,-116.5,2024,2,1,0.08
48.5,-115.5,2024,2,1,1.66
46.5,-118.5,2024,2,2,2.41
46.5,-117.5,2024,2,2,0.15
46.5,-116.5,2024,2,2,0.15
46.5,-115.5,2024,2,2,0.42
47.5,-118.5,2024,2,2,1.23
47.5,-117.5,2024,2,2,0.06
47.5,-116.5,2024,2,2,0.06
47.5,-115.5,2024,2,2,0.46
48.5,-118.5,2024,2,2,1.59
48.5,-117.5,2024,2,2,0.12
48.5,-116.5,2024,2,2,0.12
48.5,-115.5,2024,2,2,0.92
46.5,-118.5,2024,2,3,0.11
46.5,-117.5,2024,2,3,0.02
46.5,-116.5,2024,2,3,0.02
46.5,-115.5,2024,2,3,0.08
47.5,-118.5,2024,2,3,0.3
47.5,-117.5,2024,2,3,0.0
47.5,-116.5,2024,2,3,0.0
47.5,-115.5,2024,2,3,0.05
48.5,-118.5,2024,2,3,0.29
48.5,-117.5,2024,2,3,0.0
48.5,-116.5,2024,2,3,0.0
48.5,-115.5,2024,2,3,0.11
46.5,-118.5,2024,2,4,6.05
46.5,-117.5,2024,2,4,4.71
46.5,-116.5,2024,2,4,4.71
46.5,-115.5,2024,2,4,3.17
47.5,-118.5,2024,2,4,2.1
47.5,-117.5,2024,2,4,1.6
47.5,-116.5,2024,2,4,1.6
47.5,-115.5,2024,2,4,1.32
48.5,-118.5,2024,2,4,1.7
48.5,-117.5,2024,2,4,0.84
48.5,-116.5,2024,2,4,0.84
48.5,-115.5,2024,2,4,0.56
46.5,-118.5,2024,2,5,0.11
46.5,-117.5,2024,2,5,0.52
46.5,-116.5,2024,2,5,0.52
46.5,-115.5,2024,2,5,1.94
47.5,-118.5,2024,2,5,0.18
47.5,-117.5,2024,2,5,0.24
47.5,-116.5,2024,2,5,0.24
47.5,-115.5,2024,2,5,0.54
48.5,-118.5,2024,2,5,0.19
48.5,-117.5,2024,2,5,0.34
48.5,-116.5,2024,2,5,0.34
48.5,-115.5,2024,2,5,0.63
46.5,-118.5,2024,2,6,1.68
46.5,-117.5,2024,2,6,5.36
46.5,-116.5,2024,2,6,5.36
46.5,-115.5,2024,2,6,5.77
47.5,-118.5,2024,2,6,1.46
47.5,-117.5,2024,2,6,3.07
47.5,-116.5,2024,2,6,3.07
47.5,-115.5,2024,2,6,4.86
48.5,-118.5,2024,2,6,1.27
48.5,-117.5,2024,2,6,1.46
48.5,-116.5,2024,2,6,1.46
48.5,-115.5,2024,2,6,3.28
46.5,-118.5,2024,2,7,2.28
46.5,-117.5,2024,2,7,0.06
46.5,-116.5,2024,2,7,0.06
46.5,-115.5,2024,2,7,0.05
47.5,-118.5,2024,2,7,1.7
47.5,-117.5,2024,2,7,0.23
47.5,-116.5,2024,2,7,0.23
47.5,-115.5,2024,2,7,0.41
48.5,-118.5,2024,2,7,0.91
48.5,-117.5,2024,2,7,1.09
48.5,-116.5,2024,2,7,1.09
48.5,-115.5,2024,2,7,0.89
46.5,-118.5,2024,2,8,3.67
46.5,-117.5,2024,2,8,1.1
46.5,-116.5,2024,2,8,1.1
46.5,-115.5,2024,2,8,0.58
47.5,-118.5,2024,2,8,1.0
47.5,-117.5,2024,2,8,0.48
47.5,-116.5,2024,2,8,0.48
47.5,-115.5,2024,2,8,0.78
48.5,-118.5,2024,2,8,0.94
48.5,-117.5,2024,2,8,0.52
48.5,-116.5,2024,2,8,0.52
48.5,-115.5,2024,2,8,0.71
46.5,-118.5,2024,2,9,4.74
46.5,-117.5,2024,2,9,1.61
46.5,-116.5,2024,2,9,1.61
46.5,-115.5,2024,2,9,1.69
47.5,-118.5,2024,2,9,6.12
47.5,-117.5,2024,2,9,3.1
47.5,-116.5,2024,2,9,3.1
47.5,-115.5,2024,2,9,1.62
48.5,-118.5,2024,2,9,5.66
48.5,-117.5,2024,2,9,4.0
48.5,-116.5,2024,2,9,4.0
48.5,-115.5,2024,2,9,1.01
46.5,-118.5,2024,2,10,5.26
46.5,-117.5,2024,2,10,3.92
46.5,-116.5,2024,2,10,3.92
46.5,-115.5,2024,2,10,2.61
47.5,-118.5,2024,2,10,3.14
47.5,-117.5,2024,2,10,2.24
47.5,-116.5,2024,2,10,2.24
47.5,-115.5,2024,2,10,3.84
48.5,-118.5,2024,2,10,1.24
48.5,-117.5,2024,2,10,2.92
48.5,-116.5,2024,2,10,2.92
48.5,-115.5,2024,2,10,3.73
46.5,-118.5,2024,2,11,1.64
46.5,-117.5,2024,2,11,0.17
46.5,-116.5,2024,2,11,0.17
46.5,-115.5,2024,2,11,0.4
47.5,-118.5,2024,2,11,1.12
47.5,-117.5,2024,2,11,0.22
47.5,-116.5,2024,2,11,0.22
47.5,-115.5,2024,2,11,0.29
48.5,-118.5,2024,2,11,0.42
48.5,-117.5,2024,2,11,0.31
48.5,-116.5,2024,2,11,0.31
48.5,-115.5,2024,2,11,0.4
46.5,-118.5,2024,2,12,1.64
46.5,-117.5,2024,2,12,1.1
46.5,-116.5,2024,2,12,1.1
46.5,-115.5,2024,2,12,0.52
47.5,-118.5,2024,2,12,1.92
47.5,-117.5,2024,2,12,0.48
47.5,-116.5,2024,2,12,0.48
47.5,-115.5,2024,2,12,0.42
48.5,-118.5,2024,2,12,1.38
48.5,-117.5,2024,2,12,0.52
48.5,-116.5,2024,2,12,0.52
48.5,-115.5,2024,2,12,0.49
46.5,-118.5,2024,2,13,5.23
46.5,-117.5,2024,2,13,6.21
46.5,-116.5,2024,2,13,6.21
46.5,-115.5,2024,2,13,2.84
47.5,-118.5,2024,2,13,4.36
47.5,-117.5,2024,2,13,4.76
47.5,-116.5,2024,2,13,4.76
47.5,-115.5,2024,2,13,2.43
48.5,-118.5,2024,2,13,6.2
48.5,-117.5,2024,2,13,4.05
48.5,-116.5,2024,2,13,4.05
48.5,-115.5,2024,2,13,1.31
46.5,-118.5,2024,2,14,0.15
46.5,-117.5,2024,2,14,1.26
46.5,-116.5,2024,2,14,1.26
46.5,-115.5,2024,2,14,0.58
47.5,-118.5,2024,2,14,2.05
47.5,-117.5,2024,2,14,3.66
47.5,-116.5,2024,2,14,3.66
47.5,-115.5,2024,2,14,2.42
48.5,-118.5,2024,2,14,4.4
48.5,-117.5,2024,2,14,5.81
48.5,-116.5,2024,2,14,5.81
48.5,-115.5,2024,2,14,5.8
46.5,-118.5,2024,2,15,0.9
46.5,-117.5,2024,2,15,0.52
46.5,-116.5,2024,2,15,0.52
46.5,-115.5,2024,2,15,0.38
47.5,-118.5,2024,2,15,0.29
47.5,-117.5,2024,2,15,0.31
47.5,-116.5,2024,2,15,0.31
47.5,-115.5,2024,2,15,0.55
48.5,-118.5,2024,2,15,1.06
48.5,-117.5,2024,2,15,0.53
48.5,-116.5,2024,2,15,0.53
48.5,-115.5,2024,2,15,1.99
46.5,-118.5,2024,2,16,6.96
46.5,-117.5,2024,2,16,2.5
46.5,-116.5,2024,2,16,2.5
46.5,-115.5,2024,2,16,5.56
47.5,-118.5,2024,2,16,7.71
47.5,-117.5,2024,2,16,7.98
47.5,-116.5,2024,2,16,7.98
47.5,-115.5,2024,2,16,7.37
48.5,-118.5,2024,2,16,8.12
48.5,-117.5,2024,2,16,8.5
48.5,-116.5,2024,2,16,8.5
48.5,-115.5,2024,2,16,8.65
46.5,-118.5,2024,2,17,1.7
46.5,-117.5,2024,2,17,3.45
46.5,-116.5,2024,2,17,3.45
46.5,-115.5,2024,2,17,7.21
47.5,-118.5,2024,2,17,4.48
47.5,-117.5,2024,2,17,5.81
47.5,-116.5,2024,2,17,5.81
47.5,-115.5,2024,2,17,7.17
48.5,-118.5,2024,2,17,4.34
48.5,-117.5,2024,2,17,7.08
48.5,-116.5,2024,2,17,7.08
48.5,-115.5,2024,2,17,8.3
46.5,-118.5,2024,2,18,0.83
46.5,-117.5,2024,2,18,0.57
46.5,-116.5,2024,2,18,0.57
46.5,-115.5,2024,2,18,0.28
47.5,-118.5,2024,2,18,0.85
47.5,-117.5,2024,2,18,0.26
47.5,-116.5,2024,2,18,0.26
47.5,-115.5,2024,2,18,0.62
48.5,-118.5,2024,2,18,0.65
48.5,-117.5,2024,2,18,0.58
48.5,-116.5,2024,2,18,0.58
48.5,-115.5,2024,2,18,1.0
46.5,-118.5,2024,2,19,0.39
46.5,-117.5,2024,2,19,0.25
46.5,-116.5,2024,2,19,0.25
46.5,-115.5,2024,2,19,0.24
47.5,-118.5,2024,2,19,0.22
47.5,-117.5,2024,2,19,0.01
47.5,-116.5,2024,2,19,0.01
47.5,-115.5,2024,2,19,0.59
48.5,-118.5,2024,2,19,0.28
48.5,-117.5,2024,2,19,0.25
48.5,-116.5,2024,2,19,0.25
48.5,-115.5,2024,2,19,1.54
46.5,-118.5,2024,2,20,0.9
46.5,-117.5,2024,2,20,0.35
46.5,-116.5,2024,2,20,0.35
46.5,-115.5,2024,2,20,1.14
47.5,-118.5,2024,2,20,0.81
47.5,-117.5,2024,2,20,0.22
47.5,-116.5,2024,2,20,0.22
47.5,-115.5,2024,2,20,0.64
48.5,-118.5,2024,2,20,0.55
48.5,-117.5,2024,2,20,0.46
48.5,-116.5,2024,2,20,0.46
48.5,-115.5,2024,2,20,0.8
46.5,-118.5,2024,2,21,0.67
46.5,-117.5,2024,2,21,2.05
46.5,-116.5,2024,2,21,2.05
46.5,-115.5,2024,2,21,2.53
47.5,-118.5,2024,2,21,0.72
47.5,-117.5,2024,2,21,0.67
47.5,-116.5,2024,2,21,0.67
47.5,-115.5,2024,2,21,2.29
48.5,-118.5,2024,2,21,0.73
48.5,-117.5,2024,2,21,0.89
48.5,-116.5,2024,2,21,0.89
48.5,-115.5,2024,2,21,2.88
46.5,-118.5,2024,2,22,7.3
46.5,-117.5,2024,2,22,5.7
46.5,-116.5,2024,2,22,5.7
46.5,-115.5,2024,2,22,2.37
47.5,-118.5,2024,2,22,5.04
47.5,-117.5,2024,2,22,1.57
47.5,-116.5,2024,2,22,1.57
47.5,-115.5,2024,2,22,0.94
48.5,-118.5,2024,2,22,2.16
48.5,-117.5,2024,2,22,0.48
48.5,-116.5,2024,2,22,0.48
48.5,-115.5,2024,2,22,0.89
46.5,-118.5,2024,2,23,7.32
46.5,-117.5,2024,2,23,7.19
46.5,-116.5,2024,2,23,7.19
46.5,-115.5,2024,2,23,5.1
47.5,-118.5,2024,2,23,6.78
47.5,-117.5,2024,2,23,6.05
47.5,-116.5,2024,2,23,6.05
47.5,-115.5,2024,2,23,5.57
48.5,-118.5,2024,2,23,5.01
48.5,-117.5,2024,2,23,2.23
48.5,-116.5,2024,2,23,2.23
48.5,-115.5,2024,2,23,3.62
46.5,-118.5,2024,2,24,0.83
46.5,-117.5,2024,2,24,0.77
46.5,-116.5,2024,2,24,0.77
46.5,-115.5,2024,2,24,1.06
47.5,-118.5,2024,2,24,0.25
47.5,-117.5,2024,2,24,0.66
47.5,-116.5,2024,2,24,0.66
47.5,-115.5,2024,2,24,0.61
48.5,-118.5,2024,2,24,1.69
48.5,-117.5,2024,2,24,0.66
48.5,-116.5,2024,2,24,0.66
48.5,-115.5,2024,2,24,0.35
46.5,-118.5,2024,2,25,0.19
46.5,-117.5,2024,2,25,0.09
46.5,-116.5,2024,2,25,0.09
46.5,-115.5,2024,2,25,0.14
47.5,-118.5,2024,2,25,1.38
47.5,-117.5,2024,2,25,0.02
47.5,-116.5,2024,2,25,0.02
47.5,-115.5,2024,2,25,0.03
48.5,-118.5,2024,2,25,2.48
48.5,-117.5,2024,2,25,0.24
48.5,-116.5,2024,2,25,0.24
48.5,-115.5,2024,2,25,0.0
46.5,-118.5,2024,2,26,4.8
46.5,-117.5,2024,2,26,2.86
46.5,-116.5,2024,2,26,2.86
46.5,-115.5,2024,2,26,0.15
47.5,-118.5,2024,2,26,5.55
47.5,-117.5,2024,2,26,3.15
47.5,-116.5,2024,2,26,3.15
47.5,-115.5,2024,2,26,1.18
48.5,-118.5,2024,2,26,4.93
48.5,-117.5,2024,2,26,1.84
48.5,-116.5,2024,2,26,1.84
48.5,-115.5,2024,2,26,1.09
46.5,-118.5,2024,2,27,3.88
46.5,-117.5,2024,2,27,3.65
